PostId,PostCreationDate,OwnerUserId,OwnerCreationDate,ReputationAtPostCreation,OwnerUndeletedAnswerCountAtPostTime,Title,BodyMarkdown,Tag1,Tag2,Tag3,Tag4,Tag5,PostClosedDate,OpenStatus,OpenStatusInt,BodyLength,TitleLength,TitleConcatWithBody,NumberOfTags
6430945,06/21/2011 19:32:20,528123,12/02/2010 14:49:58,28,0,Using the http interface for VLC. Why is the loop flag toggling back and forth ad infinitum?,"I have a cd player I'm writing in Java, porting VLC with the http interface.  I'm trying to combine the loop and repeat functions in order to have a Repeat button with 3 states (Repeat none, Repeat One, and Repeat All).  For some odd reason, the ""loop"" boolean is switching back and forth every second, so there is no way to reliably ""Repeat All"".  I just have to hope the loop boolean is in the right state at the right time.  But as it is changing every second, this seems almost impossible to use.  Has anybody seen this?  Or know any solutions?",http,vlc,,,,,open,0,108,17,"Using the http interface for VLC. Why is the loop flag toggling back and forth ad infinitum? I have a cd player I'm writing in Java, porting VLC with the http interface.  I'm trying to combine the loop and repeat functions in order to have a Repeat button with 3 states (Repeat none, Repeat One, and Repeat All).  For some odd reason, the ""loop"" boolean is switching back and forth every second, so there is no way to reliably ""Repeat All"".  I just have to hope the loop boolean is in the right state at the right time.  But as it is changing every second, this seems almost impossible to use.  Has anybody seen this?  Or know any solutions?",2
11305119,07/03/2012 05:43:24,1219622,02/19/2012 18:44:09,13,0,OpenGTS gprmc connection problems,"you wrote that solved the problem with openGTS connenction. Can you explain it ?

http://stackoverflow.com/questions/11289123/opengts-error-gprmc-data-is-not-available

That is my problem, it seems that they are the same. Thank you.",http,tomcat,servlets,,,07/03/2012 17:37:27,not a real question,1,26,4,"OpenGTS gprmc connection problems you wrote that solved the problem with openGTS connenction. Can you explain it ?

http://stackoverflow.com/questions/11289123/opengts-error-gprmc-data-is-not-available

That is my problem, it seems that they are the same. Thank you.",3
6268024,06/07/2011 15:53:07,737952,05/04/2011 12:18:55,8,0,JS Errors because of proxy_ajp,"We have an application running on tomcat6 with apache 2.2.16 and we have proxy_ajp enabled on port 80 that routes via ajp module. We also have an HTTP connector on port 9090. 

Accessing the application using port 9090 works fine. When we access using port 80, we start getting JS errors on different pages of the application.

Can anyone point out what could be the possible cause of these JS errors? Is it related to proxy_ajp? If yes, how can we resolve it?

Any help will be appreciated!


Thanks
Noman A.",http,proxy,tomcat6,ajp,,05/07/2012 17:18:14,too localized,1,87,5,"JS Errors because of proxy_ajp We have an application running on tomcat6 with apache 2.2.16 and we have proxy_ajp enabled on port 80 that routes via ajp module. We also have an HTTP connector on port 9090. 

Accessing the application using port 9090 works fine. When we access using port 80, we start getting JS errors on different pages of the application.

Can anyone point out what could be the possible cause of these JS errors? Is it related to proxy_ajp? If yes, how can we resolve it?

Any help will be appreciated!


Thanks
Noman A.",4
6598029,07/06/2011 14:26:58,706719,04/13/2011 19:53:07,36,0,Can't access my domain when I write http://mydomian but I can when I go to www.mydomian,"This is a strange one. Must be a DNS configuration or something. I cannot connect when I enter http://mydomain.com but when I write in www.mydomain.com I can.

Can anyone shed some light? I use WHM as my control panel.

Thanks.",http,web,domain,dns,whm,07/06/2011 19:45:15,off topic,1,38,16,"Can't access my domain when I write http://mydomian but I can when I go to www.mydomian This is a strange one. Must be a DNS configuration or something. I cannot connect when I enter http://mydomain.com but when I write in www.mydomain.com I can.

Can anyone shed some light? I use WHM as my control panel.

Thanks.",5
8131233,11/15/2011 03:45:41,88597,04/08/2009 13:38:53,4872,220,What is httpd <defunct>?,"    32537 apache    16   0 87424  15m 7324 S  2.3  0.3   0:00.52 httpd              
     3302 mysql     15   0  156m  41m 4756 S  1.3  0.7  10:50.91 mysqld             
      489 apache    16   0 87016  14m 6692 S  0.7  0.2   0:00.27 httpd              
      990 apache    15   0     0    0    0 Z  0.7  0.0   0:00.12 httpd <defunct>    
      665 apache    15   0 86992  13m 5644 S  0.3  0.2   0:00.20 httpd              
    32218 apache    15   0 87356  14m 6344 S  0.3  0.2   0:00.53 httpd              
        1 root      15   0  2160  640  556 S  0.0  0.0   0:01.18 init  

From `top`, there is an occasional `httpd <defunct>` showing up. What does it do? 

I found that the web server sometimes does not response to `FPDF` (print PDF at user's request). Is it related?",http,centos,httpd,,,11/15/2011 22:19:16,off topic,1,310,4,"What is httpd <defunct>?     32537 apache    16   0 87424  15m 7324 S  2.3  0.3   0:00.52 httpd              
     3302 mysql     15   0  156m  41m 4756 S  1.3  0.7  10:50.91 mysqld             
      489 apache    16   0 87016  14m 6692 S  0.7  0.2   0:00.27 httpd              
      990 apache    15   0     0    0    0 Z  0.7  0.0   0:00.12 httpd <defunct>    
      665 apache    15   0 86992  13m 5644 S  0.3  0.2   0:00.20 httpd              
    32218 apache    15   0 87356  14m 6344 S  0.3  0.2   0:00.53 httpd              
        1 root      15   0  2160  640  556 S  0.0  0.0   0:01.18 init  

From `top`, there is an occasional `httpd <defunct>` showing up. What does it do? 

I found that the web server sometimes does not response to `FPDF` (print PDF at user's request). Is it related?",3
2999434,06/08/2010 16:47:46,340247,05/13/2010 12:25:46,61,1,Erlang:  HTTP Accept Header with Inets,"I am trying to do the equivalent of the following curl command :

curl -H ""Accept: text/plain"" http://127.0.0.1:8033/stats

I tried with an Inets simple http request.  But, it isn't processed.

How can I specify in Inets (or some other Erlang http client for that matter) the accept header requirement?",http,erlang,inets,,,,open,0,47,7,"Erlang:  HTTP Accept Header with Inets I am trying to do the equivalent of the following curl command :

curl -H ""Accept: text/plain"" http://127.0.0.1:8033/stats

I tried with an Inets simple http request.  But, it isn't processed.

How can I specify in Inets (or some other Erlang http client for that matter) the accept header requirement?",3
7202019,08/26/2011 08:34:25,875681,08/03/2011 00:34:21,3,0,"HTTP PUT - enclosed entity be stored under the supplied Request-URI, does that mean Delete and Add?","According to the [spec][1]:

> The PUT method requests that the enclosed entity be stored under the
> supplied Request-URI. If the Request-URI refers to an already existing
> resource, the enclosed entity SHOULD be considered as a modified
> version of the one residing on the origin server.

So if I have to implement a RESTFul service to change the age of a Person:

> id: 100, name: John Doe, description: Tall, age: 40

to **age 60**, should my PUT request contain

> id: 100, name: John Doe, description: Tall, age: 60

or just
> age: 60

Should the server be expected to merge and update just what changed or completely delete and re-add the resource?
  [1]: http://www.w3.org/Protocols/rfc2616/rfc2616-sec9.html#sec9.6",http,rest,http-post,http-put,restful-architecture,,open,0,109,17,"HTTP PUT - enclosed entity be stored under the supplied Request-URI, does that mean Delete and Add? According to the [spec][1]:

> The PUT method requests that the enclosed entity be stored under the
> supplied Request-URI. If the Request-URI refers to an already existing
> resource, the enclosed entity SHOULD be considered as a modified
> version of the one residing on the origin server.

So if I have to implement a RESTFul service to change the age of a Person:

> id: 100, name: John Doe, description: Tall, age: 40

to **age 60**, should my PUT request contain

> id: 100, name: John Doe, description: Tall, age: 60

or just
> age: 60

Should the server be expected to merge and update just what changed or completely delete and re-add the resource?
  [1]: http://www.w3.org/Protocols/rfc2616/rfc2616-sec9.html#sec9.6",5
5539793,04/04/2011 14:17:04,404568,07/28/2010 13:41:24,960,38,Tunnelling TCP over HTTP,"For assorted obscure reasons I have a situation where I need to tunnel a TCP connection across an HTTP connection: the local client wants a raw stream to a remote server, but the only way of getting to the remote server is via HTTP.

Note that I **don't** have access to the HTTP CONNECT verb, so I have to use a stream of GET/POST requests for this.

So far I've found software like GNU httptunnel, which almost does what I want but is buggy and rather limited in that it only supports a single tunnel; attempting to communicate with it without tearing down the tunnel first causes problems. And most of the other things I've found all expect CONNECT to work, and so are unsuitable for me.

Can anyone suggest some other software I should look at? Ideally I'd like something that runs as a server rather than bolting on to Apache (because I don't use Apache), but I'm not picky.

For extra points, my client is actually running Java (a really clunky PBP profile), and so I'm going to need an access library. I'm willing to write one, but obviously would rather not...",http,networking,tcp,recommendation,tunneling,07/27/2011 23:09:55,off topic,1,190,4,"Tunnelling TCP over HTTP For assorted obscure reasons I have a situation where I need to tunnel a TCP connection across an HTTP connection: the local client wants a raw stream to a remote server, but the only way of getting to the remote server is via HTTP.

Note that I **don't** have access to the HTTP CONNECT verb, so I have to use a stream of GET/POST requests for this.

So far I've found software like GNU httptunnel, which almost does what I want but is buggy and rather limited in that it only supports a single tunnel; attempting to communicate with it without tearing down the tunnel first causes problems. And most of the other things I've found all expect CONNECT to work, and so are unsuitable for me.

Can anyone suggest some other software I should look at? Ideally I'd like something that runs as a server rather than bolting on to Apache (because I don't use Apache), but I'm not picky.

For extra points, my client is actually running Java (a really clunky PBP profile), and so I'm going to need an access library. I'm willing to write one, but obviously would rather not...",5
2446267,03/15/2010 10:06:19,292246,03/12/2010 09:40:34,5,0,I need to encrypt the names of my http form elements,"I have a form with certain elements, input boxes, check boxes etc. I need to encrypt the names of these input boxes and check boxes. I'm currently using a Rijndael encryption/decryption method through c# however this is making the encrypted names too long to be passed in a post. Is there a better way to get decent encrypted names? my purpose is to have the names encrypted before the post happens so if someone views the code behind the names are already encrypted.",http,asp.net,encryption,c#,rijndael,,open,0,83,11,"I need to encrypt the names of my http form elements I have a form with certain elements, input boxes, check boxes etc. I need to encrypt the names of these input boxes and check boxes. I'm currently using a Rijndael encryption/decryption method through c# however this is making the encrypted names too long to be passed in a post. Is there a better way to get decent encrypted names? my purpose is to have the names encrypted before the post happens so if someone views the code behind the names are already encrypted.",5
5769979,04/24/2011 10:16:16,568822,01/09/2011 14:32:12,139,2,Secured HTTP : HTTPS Content,"Everlasting...

Hi Everybody.

I Can't Visit any videos in Link Below :

    Https://youtube.com

What is the problem with https ? ",http,networking,internet,network-protocols,,04/24/2011 12:28:49,off topic,1,21,5,"Secured HTTP : HTTPS Content Everlasting...

Hi Everybody.

I Can't Visit any videos in Link Below :

    Https://youtube.com

What is the problem with https ? ",4
