PostId,PostCreationDate,OwnerUserId,OwnerCreationDate,ReputationAtPostCreation,OwnerUndeletedAnswerCountAtPostTime,Title,BodyMarkdown,Tag1,Tag2,Tag3,Tag4,Tag5,PostClosedDate,OpenStatus,OpenStatusInt,BodyLength,TitleLength,TitleConcatWithBody,NumberOfTags
2112372,01/21/2010 19:54:12,256132,01/21/2010 19:41:10,1,0,Preventing \texttt LaTeX tag from letting its content passing over the margin,"In my report, I'm writing some class names or variable names inside of a paragraph, and I want these names to be rendered in a monospace font.

Example:
This is my class name: \texttt{baseAdminConfiguration}.

Sometimes when the single word inside of the \texttt tag is rendered at the end of a line, the word does not go to the next line, and there is no break in it neither: the end of the word passes over the margin.

How should I handle such a case?

Cheers.",latex,texttt,long-lines,,,09/07/2011 03:05:48,off topic,1,81,12,"Preventing \texttt LaTeX tag from letting its content passing over the margin In my report, I'm writing some class names or variable names inside of a paragraph, and I want these names to be rendered in a monospace font.

Example:
This is my class name: \texttt{baseAdminConfiguration}.

Sometimes when the single word inside of the \texttt tag is rendered at the end of a line, the word does not go to the next line, and there is no break in it neither: the end of the word passes over the margin.

How should I handle such a case?

Cheers.",3
5549210,04/05/2011 08:33:18,203506,11/05/2009 14:46:04,67,0,Colored Headings in LaTeX / How to apply to TOC-Headings,"I'm currently improving my LaTeX-Template for theses. Coloring ""ordinary"" headings is working already, but how can I apply this style to the headings of ""List of Contents"", ""List of Figures"" and ""List of Tables"" as well?

Here is some code-snippet I'm using for my headings:

    \usepackage{titlesec}
    ...
    \titleformat{\chapter}[display]{\color{intensive-turquoise}\
    \normalfont\huge\bfseries}{\chaptertitlename\thechapter}{20pt}{\Huge}
    ...
    \begin{document}
    ...
    \end{document

Help is highly appreciated :-) Thx in advance,
  Rainer
",latex,colors,headings,,,06/10/2012 16:13:01,off topic,1,85,10,"Colored Headings in LaTeX / How to apply to TOC-Headings I'm currently improving my LaTeX-Template for theses. Coloring ""ordinary"" headings is working already, but how can I apply this style to the headings of ""List of Contents"", ""List of Figures"" and ""List of Tables"" as well?

Here is some code-snippet I'm using for my headings:

    \usepackage{titlesec}
    ...
    \titleformat{\chapter}[display]{\color{intensive-turquoise}\
    \normalfont\huge\bfseries}{\chaptertitlename\thechapter}{20pt}{\Huge}
    ...
    \begin{document}
    ...
    \end{document

Help is highly appreciated :-) Thx in advance,
  Rainer
",3
9484684,02/28/2012 15:25:18,1128077,01/03/2012 14:56:13,6,0,Latex Figure Special Layout,"could somebody help me with a special task? I need a special layout that looks like this:

[Layout Example][1]

Could somebody give me a latex code how that works??
Thank you!


  [1]: http://imageshack.us/photo/my-images/441/figurelayout.png/",latex,,,,,02/28/2012 16:04:08,off topic,1,31,4,"Latex Figure Special Layout could somebody help me with a special task? I need a special layout that looks like this:

[Layout Example][1]

Could somebody give me a latex code how that works??
Thank you!


  [1]: http://imageshack.us/photo/my-images/441/figurelayout.png/",1
11706305,07/29/2012 03:00:50,581544,01/19/2011 14:11:04,109,0,how to remove pgfplots circular points,"In the graph below, there are large circular point marks. Is there a way of removing them? 

My graph code is

    \begin{figure}[H] 
    \begin{tikzpicture} 
    \begin{axis}[ 
    height=9cm, 
    width=12cm, 
    grid=major, 
    xlabel={Levels},
    ylabel={Speed},
    legend style={
    cells={anchor=east},
    legend pos=outer north east,
    }]
![enter image description here][1]


  [1]: http://i.stack.imgur.com/pPh4e.png",latex,,,,,07/30/2012 11:46:10,off topic,1,85,6,"how to remove pgfplots circular points In the graph below, there are large circular point marks. Is there a way of removing them? 

My graph code is

    \begin{figure}[H] 
    \begin{tikzpicture} 
    \begin{axis}[ 
    height=9cm, 
    width=12cm, 
    grid=major, 
    xlabel={Levels},
    ylabel={Speed},
    legend style={
    cells={anchor=east},
    legend pos=outer north east,
    }]
![enter image description here][1]


  [1]: http://i.stack.imgur.com/pPh4e.png",1
10665465,05/19/2012 13:09:33,1148626,01/13/2012 22:21:57,79,0,latex tabular width the same as the textwidth,"I am generating some table as follow:

    \begin{tabular}[l]{|l|l|l|}
    \hline
    Input & Output& Action return \\
    \hline
    \hline
    DNF &  simulation & jsp\\
    \hline
    
    \end{tabular}

How can can I give this table the same width as the text width?
For graphic I use 

> [width=\textwidth]

But this doesn't work for table.",latex,,,,,05/20/2012 02:15:17,off topic,1,76,8,"latex tabular width the same as the textwidth I am generating some table as follow:

    \begin{tabular}[l]{|l|l|l|}
    \hline
    Input & Output& Action return \\
    \hline
    \hline
    DNF &  simulation & jsp\\
    \hline
    
    \end{tabular}

How can can I give this table the same width as the text width?
For graphic I use 

> [width=\textwidth]

But this doesn't work for table.",1
7014296,08/10/2011 16:23:04,813761,06/24/2011 08:58:07,459,1,Tex vs. Latex: Is it worth the change?,"I have been producing documents (both mathematical and non-mathematical) with Latex for about two years, and I feel rather confortable with it. Now I would like to learn Tex, but I wonder if there are any real reasons to do it rather than just for the fun of it... Is there really anyone using Tex when that person could well be using Latex?",latex,tex,,,,08/10/2011 16:57:22,off topic,1,63,8,"Tex vs. Latex: Is it worth the change? I have been producing documents (both mathematical and non-mathematical) with Latex for about two years, and I feel rather confortable with it. Now I would like to learn Tex, but I wonder if there are any real reasons to do it rather than just for the fun of it... Is there really anyone using Tex when that person could well be using Latex?",2
1257621,08/10/2009 22:36:40,50305,12/30/2008 20:58:06,871,23,"latex and unicode: how to write special symbols of other scripts, or import symbols?","I couldn't find the answer to this question in SO. I'll try to explain.

I'm writing some text in which I need to change scripts very often. Say I want to write some unicode character (not in the character script, but more in the transliteration of it, say \'a for á). What is the best way to do this in scripts such as indic, chinese, etc?

Thanks.",latex,unicode,,,,,open,0,65,14,"latex and unicode: how to write special symbols of other scripts, or import symbols? I couldn't find the answer to this question in SO. I'll try to explain.

I'm writing some text in which I need to change scripts very often. Say I want to write some unicode character (not in the character script, but more in the transliteration of it, say \'a for á). What is the best way to do this in scripts such as indic, chinese, etc?

Thanks.",2
9959779,03/31/2012 21:20:51,1055637,11/19/2011 19:18:36,644,1,margins of book class in latex,"I would know which are the margins (in meters) top,right,bottom and left, default assigned for `book`class. there is a command or a way to know them?",latex,margins,,,,04/01/2012 03:42:21,off topic,1,26,6,"margins of book class in latex I would know which are the margins (in meters) top,right,bottom and left, default assigned for `book`class. there is a command or a way to know them?",2
11600365,07/22/2012 12:38:55,1189762,02/04/2012 19:01:54,154,11,Latex - \multirow and \rotatebox dont match together - how to align,"Minimal example:

		\begin{table}[H]
		\centering
		\begin{tabular}{|l|c|c|}
		\hline
		Text A & Text B & Text C\\
		\hline
		& \multirow{2}{*}{\rotatebox{90}{Gewichtung}} \\ 
        \hline
		& & \\ 
		\hline
		A & 1 & 100 \\
		\hline
		B & 2 & 100 \\
		\hline
		\end{tabular}
		\end{table}

If I use it like this, the text of the rotatet cell goes in another cell. So the cell doesnt get bigger. If I use:

		\begin{table}[H]
		\centering
		\begin{tabular}{|l|c|c|}
		\hline
		Text A & Text B & Text C\\
		\hline
		& \rotatebox{90}{\multirow{2}{*}{Gewichtung}} \\ \hline
		& & \\ 
		\hline
		A & 1 & 100 \\
		\hline
		B & 2 & 100 \\
		\hline
		\end{tabular}
		\end{table}

it looks better. But how do I get the text ""Gewichtung"" centered now? Its a bit more right and on the top of the box.

",latex,,,,,07/22/2012 21:50:29,off topic,1,104,12,"Latex - \multirow and \rotatebox dont match together - how to align Minimal example:

		\begin{table}[H]
		\centering
		\begin{tabular}{|l|c|c|}
		\hline
		Text A & Text B & Text C\\
		\hline
		& \multirow{2}{*}{\rotatebox{90}{Gewichtung}} \\ 
        \hline
		& & \\ 
		\hline
		A & 1 & 100 \\
		\hline
		B & 2 & 100 \\
		\hline
		\end{tabular}
		\end{table}

If I use it like this, the text of the rotatet cell goes in another cell. So the cell doesnt get bigger. If I use:

		\begin{table}[H]
		\centering
		\begin{tabular}{|l|c|c|}
		\hline
		Text A & Text B & Text C\\
		\hline
		& \rotatebox{90}{\multirow{2}{*}{Gewichtung}} \\ \hline
		& & \\ 
		\hline
		A & 1 & 100 \\
		\hline
		B & 2 & 100 \\
		\hline
		\end{tabular}
		\end{table}

it looks better. But how do I get the text ""Gewichtung"" centered now? Its a bit more right and on the top of the box.

",1
9656417,03/11/2012 15:49:47,539981,12/13/2010 01:00:03,41,0,Add Dots in Table of Contents for Parts for LaTex document,"My document has Three ""Parts"" (using the \part command), and chapters, and sections. When I generate my table of contents (\tableofcontents), all the chapters and lower have dots between the name of the chapter/section/etc and the page number. However, the Parts do not have dots.

How do I fix this?

Here is the code in my cls that pertains to tables, please advise how to make it so that Parts also have dots.


> \renewcommand\contentsname{Table of Contents}
> 
> 
> 
> 
> \renewcommand*\l@chapter[2]{%   \ifnum \c@tocdepth >\m@ne
>     \addpenalty{-\@highpenalty}%
>     \vskip 1.0em \@plus 0.2em \@minus 0.2em
>     \setlength\@tempdima{1.5em}
>     \begingroup
>       \leftskip \z@ \rightskip \@tocrmarg \parfillskip -\rightskip
>       \parindent \z@
>       \leavevmode \bfseries
>       \advance\leftskip\@tempdima
>       \hskip -\leftskip
>       #1\nobreak
>       \leaders\hbox{$\m@th\mkern\@dotsep mu\hbox{.}\mkern\@dotsep mu$}
>       \hfil \nobreak\hbox to\@pnumwidth{\hss #2}\par
>       \penalty\@highpenalty
>     \endgroup   \fi} \let\thesis@tableofcontents=\tableofcontents \def\tableofcontents{{\singlespacing\thesis@tableofcontents}}

",latex,toc,,,,03/11/2012 20:50:47,off topic,1,195,11,"Add Dots in Table of Contents for Parts for LaTex document My document has Three ""Parts"" (using the \part command), and chapters, and sections. When I generate my table of contents (\tableofcontents), all the chapters and lower have dots between the name of the chapter/section/etc and the page number. However, the Parts do not have dots.

How do I fix this?

Here is the code in my cls that pertains to tables, please advise how to make it so that Parts also have dots.


> \renewcommand\contentsname{Table of Contents}
> 
> 
> 
> 
> \renewcommand*\l@chapter[2]{%   \ifnum \c@tocdepth >\m@ne
>     \addpenalty{-\@highpenalty}%
>     \vskip 1.0em \@plus 0.2em \@minus 0.2em
>     \setlength\@tempdima{1.5em}
>     \begingroup
>       \leftskip \z@ \rightskip \@tocrmarg \parfillskip -\rightskip
>       \parindent \z@
>       \leavevmode \bfseries
>       \advance\leftskip\@tempdima
>       \hskip -\leftskip
>       #1\nobreak
>       \leaders\hbox{$\m@th\mkern\@dotsep mu\hbox{.}\mkern\@dotsep mu$}
>       \hfil \nobreak\hbox to\@pnumwidth{\hss #2}\par
>       \penalty\@highpenalty
>     \endgroup   \fi} \let\thesis@tableofcontents=\tableofcontents \def\tableofcontents{{\singlespacing\thesis@tableofcontents}}

",2
